Компания,Email из базы,Сайт из базы,Что не сошлось,Сайт принадлежит этой компании?,Кому принадлежит сайт по факту,Статус сайта из базы,По какому сайту строили персонализацию,Откуда взяли этот сайт,Отрасль,Ниша базы,Язык письма,Персонализация,Источник персонализации
Mingwen Intelligent,sales01@mgwmachine.com,mgwmachine.com,,совпадает,"浙江铭文智能科技有限公司 (Zhejiang Mingwen Intelligent Technology Co., Ltd.)",отвечает,https://www.mgwmachine.com/,из базы,"производство специализированных станков и оборудования, в том числе rotary transfer machine для газовой отрасли",в нише,en,"Founded in 2004, Mingwen Intelligent has grown from a small machine‑tool retrofit shop into a key player in China’s specialty machine‑tool sector—holding roughly 70 % of the market for rotary transfer machines in the gas equipment industry.",https://www.mgwmachine.com/
HNC,sales@hnc.su,hnc.su,,совпадает,HNC Electric,отвечает,https://hnc.su,из базы,"автоматизация производства – АСУТП, ПЛК, HMI, сервоприводы и ЧПУ",в нише,ru,"Компания HNC специализируется на комплексных решениях АСУТП, включая ПЛК, HMI, сервоприводы, преобразователи частоты и ЧПУ‑оборудование, а также предоставляет услуги по выбору оборудования и пусконаладочным работам.",https://hnc.su
Tengzhong Machinery,sales01@nttzmt.com,uncomtech.ru,сайт из базы не принадлежит этой компании (сайт принадлежит: Ункомтех (российский поставщик кабельно‑проводниковой продукции)); домен почты (nttzmt.com) не совпадает с доменом сайта; домен почты (nttzmt.com) не совпадает с реально найденным сайтом (tengzhongmachine.com) — письмо может уйти не той компании,не совпадает,Ункомтех (российский поставщик кабельно‑проводниковой продукции),отвечает,https://www.tengzhongmachine.com/aboutus.html,поиск,поставщик листогибочных прессов (press brake),в нише,en,"With more than 20 years of industry experience, Tengzhong Machinery has become a trusted press‑brake supplier in Jiangsu Province’s Libao Industrial Park.",https://www.tengzhongmachine.com/aboutus.html
Tesid Equipment,sales@unimach.ru,unimach.ru,сайт из базы не принадлежит этой компании (сайт принадлежит: Юнимаш (ООО «НПК Морсвязьавтоматика» – производитель Unimach®)); домен почты (unimach.ru) не совпадает с реально найденным сайтом (tesid.cn) — письмо может уйти не той компании,не совпадает,Юнимаш (ООО «НПК Морсвязьавтоматика» – производитель Unimach®),отвечает,https://tesid.cn/en/,поиск,производство высокоточных фрезерных и шлифовальных машин для обработки металлов,в нише,en,"Beijing TESID Equipment Co., LTD is a state‑level high‑tech company that specializes in the research, production, and sale of high‑precision grinding machines and brush‑type surface deburring machines. Their equipment is widely used across hydraulic machinery, CNC blades, auto parts, RV reducers, watch movements, and precision electronic components.",https://tesid.cn/en/
ТД Ункомтех,sales@thebestcnc.com,saintymachine.com,сайт из базы не принадлежит этой компании (сайт принадлежит: Sainty Machinery); этот домен указан ещё у другой компании в базе; домен почты (thebestcnc.com) не совпадает с доменом сайта; домен почты (thebestcnc.com) не совпадает с реально найденным сайтом (uncomtech.ru) — письмо может уйти не той компании; компания вне ниши базы,не совпадает,Sainty Machinery,отвечает,https://www.uncomtech.ru/,поиск,производство и поставка кабельно‑проводниковой продукции,вне ниши,ru,"Крупнейший поставщик кабельно‑проводниковой продукции в России и СНГ, основанный в 1729 г. как чугунолитейное производство на берегу реки Кирс; его первые изделия использовались для изготовления луженного железа к первой кровле Зимнего дворца.",https://www.uncomtech.ru/
JAT Cemented Carbide,sales@jillionsupply.com,jillionsupply.com,"сайт из базы не принадлежит этой компании (сайт принадлежит: производитель/поставщик промышленного оборудования (моторы, приводы, роботы и т.д.)); домен почты (jillionsupply.com) не совпадает с реально найденным сайтом (jatcarbide.com) — письмо может уйти не той компании",не совпадает,"производитель/поставщик промышленного оборудования (моторы, приводы, роботы и т.д.)",отвечает,https://www.jatcarbide.com/,поиск,"производство и продажа станочных инструментов (CNC‑резцы, фрезы, сверла)",в нише,en,"Zhuzhou JAT specializes in designing, manufacturing and selling CNC cutting tools—including solid end mills, carbide inserts and indexable lathe tool holders.",https://www.jatcarbide.com/
Rogen Technologies,sales@jatcarbide.com,jat-carbide.com,сайт из базы не принадлежит этой компании (сайт принадлежит: Jat Carbide (производитель кобальтовых вставок)); домен почты (jatcarbide.com) не совпадает с доменом сайта; домен почты (jatcarbide.com) не совпадает с реально найденным сайтом (rogentech.com) — письмо может уйти не той компании,не совпадает,Jat Carbide (производитель кобальтовых вставок),отвечает,https://www.rogentech.com/,проверено вручную,"производство точных двигателей, редукторов, приводов и промышленных роботов",в нише,en,"Rogen Technologies China has been a pioneering force in the industrial sector for over two decades, delivering high‑performance precision motors and reducers used across industrial, medical, and aerospace applications.",https://www.rogentech.com/
Искролайн,sales@iskroline.ru,iskroline.ru,,совпадает,Группа компаний «ИСКРОЛАЙН»,отвечает,https://www.iskroline.ru/,из базы,производство и продажа атомно‑эмиссионных спектрометров для анализа металлов и сплавов,в нише,ru,"Искролайн разрабатывает и выпускает российские атомно‑эмиссионные экспресс‑спектрометры, специально предназначенные для анализа металлов и сплавов в лабораториях и научных центрах.",https://www.iskroline.ru/
Jimmy CNC Tool,sales@jimmytool.com,jimmytool.com,,совпадает,"Dongguan Jimmy CNC Cutting Tools Co., Ltd",отвечает,https://www.jimmytool.com/,из базы,производство и продажа высокоточных карбидных резцов для ЧПУ,в нише,en,"Jimmy CNC Tool has been manufacturing high‑precision carbide end mills and related CNC cutting tools since 2008, operating from a 15,000 m² facility in Dongguan.",https://www.jimmytool.com/
Ezhong Heavy Machinery,sales@ezhonggroup.com,ezhonggroup.com,,совпадает,"EZHONG Heavy Machinery Co., Ltd",отвечает,https://www.ezhonggroup.com/,из базы,производство металлообрабатывающего оборудования (плоские пресс‑машины и роликовые формовочные машины),в нише,en,"With 63 years of metal‑forming expertise, EZHONG has been a trusted supplier of plate‑bending and plate‑leveling machines in Wudu‑Ezhou City, Hubei Province.",https://www.ezhonggroup.com/
