name,email,site_in_base,site_status,site_owner,verdict,site_used,site_source,industry,niche,issues,language,personalization,personalization_source
Mingwen Intelligent,sales01@mgwmachine.com,mgwmachine.com,отвечает,"浙江铭文智能科技有限公司 (Zhejiang Mingwen Intelligent Technology Co., Ltd.)",совпадает,https://www.mgwmachine.com/,из базы,"производство специализированных станков и оборудования, в том числе rotary transfer machine для газовой отрасли",в нише,,en,"Founded in 2004, Mingwen Intelligent has grown from a small machine‑tool retrofit shop into a key player in China’s specialty machine‑tool sector—holding roughly 70 % of the market for rotary transfer machines in the gas equipment industry.",https://www.mgwmachine.com/
HNC,sales@hnc.su,hnc.su,отвечает,HNC Electric,совпадает,https://hnc.su,из базы,"автоматизация производства – АСУТП, ПЛК, HMI, сервоприводы и ЧПУ",в нише,,ru,"Компания HNC специализируется на комплексных решениях АСУТП, включая ПЛК, HMI, сервоприводы, преобразователи частоты и ЧПУ‑оборудование, а также предоставляет услуги по выбору оборудования и пусконаладочным работам.",https://hnc.su
Tengzhong Machinery,sales01@nttzmt.com,uncomtech.ru,отвечает,Ункомтех (российский поставщик кабельно‑проводниковой продукции),не совпадает,https://www.tengzhongmachine.com/aboutus.html,поиск,поставщик листогибочных прессов (press brake),в нише,сайт из базы не принадлежит этой компании (сайт принадлежит: Ункомтех (российский поставщик кабельно‑проводниковой продукции)); домен почты (nttzmt.com) не совпадает с доменом сайта; домен почты (nttzmt.com) не совпадает с реально найденным сайтом (tengzhongmachine.com) — письмо может уйти не той компании,en,"With more than 20 years of industry experience, Tengzhong Machinery has become a trusted press‑brake supplier in Jiangsu Province’s Libao Industrial Park.",https://www.tengzhongmachine.com/aboutus.html
Tesid Equipment,sales@unimach.ru,unimach.ru,отвечает,Юнимаш (ООО «НПК Морсвязьавтоматика» – производитель Unimach®),не совпадает,https://tesid.cn/en/,поиск,производство высокоточных фрезерных и шлифовальных машин для обработки металлов,в нише,сайт из базы не принадлежит этой компании (сайт принадлежит: Юнимаш (ООО «НПК Морсвязьавтоматика» – производитель Unimach®)); домен почты (unimach.ru) не совпадает с реально найденным сайтом (tesid.cn) — письмо может уйти не той компании,en,"Beijing TESID Equipment Co., LTD is a state‑level high‑tech company that specializes in the research, production, and sale of high‑precision grinding machines and brush‑type surface deburring machines. Their equipment is widely used across hydraulic machinery, CNC blades, auto parts, RV reducers, watch movements, and precision electronic components.",https://tesid.cn/en/
ТД Ункомтех,sales@thebestcnc.com,saintymachine.com,отвечает,Sainty Machinery,не совпадает,https://www.uncomtech.ru/,поиск,производство и поставка кабельно‑проводниковой продукции,вне ниши,сайт из базы не принадлежит этой компании (сайт принадлежит: Sainty Machinery); этот домен указан ещё у другой компании в базе; домен почты (thebestcnc.com) не совпадает с доменом сайта; домен почты (thebestcnc.com) не совпадает с реально найденным сайтом (uncomtech.ru) — письмо может уйти не той компании; компания вне ниши базы,ru,"Крупнейший поставщик кабельно‑проводниковой продукции в России и СНГ, основанный в 1729 г. как чугунолитейное производство на берегу реки Кирс; его первые изделия использовались для изготовления луженного железа к первой кровле Зимнего дворца.",https://www.uncomtech.ru/
JAT Cemented Carbide,sales@jillionsupply.com,jillionsupply.com,отвечает,"производитель/поставщик промышленного оборудования (моторы, приводы, роботы и т.д.)",не совпадает,https://www.jatcarbide.com/,поиск,"производство и продажа станочных инструментов (CNC‑резцы, фрезы, сверла)",в нише,"сайт из базы не принадлежит этой компании (сайт принадлежит: производитель/поставщик промышленного оборудования (моторы, приводы, роботы и т.д.)); домен почты (jillionsupply.com) не совпадает с реально найденным сайтом (jatcarbide.com) — письмо может уйти не той компании",en,"Zhuzhou JAT specializes in designing, manufacturing and selling CNC cutting tools—including solid end mills, carbide inserts and indexable lathe tool holders.",https://www.jatcarbide.com/
Rogen Technologies,sales@jatcarbide.com,jat-carbide.com,отвечает,Jat Carbide (производитель кобальтовых вставок),не совпадает,https://www.rogentech.com/,проверено вручную,"производство точных двигателей, редукторов, приводов и промышленных роботов",в нише,сайт из базы не принадлежит этой компании (сайт принадлежит: Jat Carbide (производитель кобальтовых вставок)); домен почты (jatcarbide.com) не совпадает с доменом сайта; домен почты (jatcarbide.com) не совпадает с реально найденным сайтом (rogentech.com) — письмо может уйти не той компании,en,"Rogen Technologies China has been a pioneering force in the industrial sector for over two decades, delivering high‑performance precision motors and reducers used across industrial, medical, and aerospace applications.",https://www.rogentech.com/
Искролайн,sales@iskroline.ru,iskroline.ru,отвечает,Группа компаний «ИСКРОЛАЙН»,совпадает,https://www.iskroline.ru/,из базы,производство и продажа атомно‑эмиссионных спектрометров для анализа металлов и сплавов,в нише,,ru,"Искролайн разрабатывает и выпускает российские атомно‑эмиссионные экспресс‑спектрометры, специально предназначенные для анализа металлов и сплавов в лабораториях и научных центрах.",https://www.iskroline.ru/
Jimmy CNC Tool,sales@jimmytool.com,jimmytool.com,отвечает,"Dongguan Jimmy CNC Cutting Tools Co., Ltd",совпадает,https://www.jimmytool.com/,из базы,производство и продажа высокоточных карбидных резцов для ЧПУ,в нише,,en,"Jimmy CNC Tool has been manufacturing high‑precision carbide end mills and related CNC cutting tools since 2008, operating from a 15,000 m² facility in Dongguan.",https://www.jimmytool.com/
Ezhong Heavy Machinery,sales@ezhonggroup.com,ezhonggroup.com,отвечает,"EZHONG Heavy Machinery Co., Ltd",совпадает,https://www.ezhonggroup.com/,из базы,производство металлообрабатывающего оборудования (плоские пресс‑машины и роликовые формовочные машины),в нише,,en,"With 63 years of metal‑forming expertise, EZHONG has been a trusted supplier of plate‑bending and plate‑leveling machines in Wudu‑Ezhou City, Hubei Province.",https://www.ezhonggroup.com/
Shixinghong Precision,swyct@126.com,saintymachine.com,отвечает,Sainty Machinery,не совпадает,https://en.szshixinghong.com/,поиск,производство станков с числовым программным управлением (CNC) и высокоскоростных инструментов,в нише,"сайт из базы не принадлежит этой компании (сайт принадлежит: Sainty Machinery); этот домен указан ещё у другой компании в базе; почта на бесплатном ящике, а не на домене компании",en,"Shixinghong Precision offers a dedicated High‑Speed Drilling & Tapping Machine Series, alongside a range of vertical machining centers featuring both three‑axis and two‑axis linear guideways. Their product line also includes five‑axis machining centers and gantry machining centers for complex composite work.",https://en.szshixinghong.com/
Internor Machinery,sales@internor.com.cn,internor-mach.com,отвечает,Internor Machinery,совпадает,http://www.internor-mach.com,из базы,"оборудование и технологии для поверхностной обработки металлов (пульверизаторы, шлифовальные установки)",в нише,домен почты (internor.com.cn) не совпадает с доменом сайта,en,"Internor Machinery has positioned itself as the trusted partner for global industrial customers in surface‑blasting (喷抛丸) technology, continuously developing innovative products and services to boost production efficiency.",http://www.internor-mach.com
РИЦ Техносфера,sales@technosphera.ru,technosphera.ru,отвечает,неизвестно по тексту страницы,неясно,https://www.technosphera.ru/,поиск,микроэлектронные и информационно-технологические услуги,вне ниши,компания вне ниши базы,ru,"Компания активно участвует в российских мероприятиях, включая форум «Микроэлектроника 2026» и конференцию «Smart Oil & Gas 2026».",https://www.technosphera.ru/
