name,website,contact_name,email,personalization,personalization_source
Depot,https://www.depotwpf.ru/,,hello@depotwpf.ru,Depot имеет более 28 лет опыта и считается топ-1 брендинговым агентством в России с портфолио из свыше 6 000 кейсов.,https://www.depotwpf.ru/
MGcom,https://mgcom.ru/,,mgcom@mgcom.ru,Компания MGcom специализируется на автоматизированной покупке рекламы через Programmatic и помогает крупному и среднему бизнесу решать задачи от показа до продажи.,https://mgcom.ru/
Родная речь,https://rore.group/,,contact@rore.group,"Компания «Родная речь» предоставляет полный спектр рекламно-коммуникационных услуг — от медиа и креатива до аналитики, технологий и работы с данными.",https://rore.group/
Ipsos Comcon,https://www.ipsos-comcon.ru/ru-ru,,ruinfo@ipsos-russia.ru,"Мировой лидер в области маркетинговых исследований Ipsos активно использует данные опросов, анализ социальных сетей и качественные методы, чтобы отражать мнения потребителей, клиентов, пациентов и сотрудников. Кроме того, компания подчёркивает важность ESG-инициатив, акцентируя внимание на вовлечении «недооцененной золотой середины» среди Зумеров.",https://www.ipsos-comcon.ru/ru-ru
Schmidt Export,https://schmidt-export.ru/,,contact.shanghai@schmidt-export.de,Компания предлагает фиксированные цены и назначает персонального менеджера для каждого проекта.,https://schmidt-export.ru/
Mediascope,https://mediascope.net/,,pdn-adfact@mediascope.net,Mediascope признана одним из лучших работодателей в России по рейтингу HH.ru за 2025 год.,https://mediascope.net/
Brand Analytics,https://brandanalytics.ru/,,,"Система Brand Analytics обеспечивает мониторинг и анализ социальных медиа в режиме реального времени, позволяя быстро контролировать репутацию компании. Кроме того, она включает набор ИИ-инструментов для ускорения аналитики данных и выявления сбоев массовых сервисов по сообщениям пользователей соцсетей.",https://brandanalytics.ru/
Frank RG,https://frankrg.com/,,adsales@frankrg.com,"Компания Frank RG была основана в 2008 году и с тех пор проводит исследования банковской индустрии, помогая крупнейшим банкам России принимать стратегические решения на основе данных.",https://frankrg.com/
Novikov Marketing Consulting,https://novikov.consulting/,,NovikovConsulting@yandex.ru,"Компания Novikov Marketing Consulting имеет более 10 лет опыта в оптимизации рекламных связок и работе с крупными бюджетами, ориентируясь на долгосрочный рост B2B-и B2C сегментов от e-commerce до локальных бизнесов.",https://novikov.consulting/
Лига трафика агентство,https://vk.com/liga_traffic,,,,
Лендинг.ру,https://landing.ru/,,ask@landing.ru,"Разработка лендингов в Москве по выгодным ценам — это то, что делает Landing.ru отличным выбором для бизнеса. Команда веб-студии готова тестировать и оптимизировать страницы под ваш рынок и целевую аудиторию.",https://landing.ru/
Neurobrand агентство,https://neuro-brand.ru/,,info@neuro-brand.ru,"Проводят нейроисследования упаковки и рекламы с 2015 года, используя собственное оборудование: стационарный и мобильный Eye-tracker, 16-канальный ЭЭГ, приборы для замера КГР и ЧСС.",https://neuro-brand.ru/
Walnut Team,https://walnut.team/,,intouch@walnut.team,"Офис Walnut Team находится по адресу Москва, Бибиревская д. 2 к. 1, 4-й этаж, офис 17.",https://walnut.team/
ArbaletWeb,https://arbaletweb.ru/,,support@arbaletweb.ru,"Разработали более 500 готовых адаптивных решений для сайтов по всей России, включая сайт отеля в Чемале и интернет-магазин полуфабрикатов с удобным каталогом.",https://arbaletweb.ru/
Tebiz Group,https://tebiz.ru/,,order@tebiz.ru,"Компания Tebiz Group с 2011 года обслуживает более 2500 компаний, предоставляя аналитические отчёты на основе более 60 млн. данных.",https://tebiz.ru/
Rocket Media,https://rocket-media.ru/,,info@rocket-media.ru,Компания Rocket Media только что запустила новый продукт под названием Launchify – платформа для упрощения запуска проектов и увеличения конверсий.,https://rocket-media.ru/
Макс медиа,https://maxmedia-group.ru/,,,"Компания предоставляет более 40 рекламных инструментов, в том числе Яндекс Директ, РСЯ и Google AdWords.",https://maxmedia-group.ru/
Osminog Project,https://osminog.biz/,,info@osminog.biz,"Осминог специализируется на полной интеграции 1С с Bitrix24, превращая процессы продаж в управляемую систему.",https://osminog.biz/
Hubes,https://hubes.ru/,,support@hubes.ru,Работает с 2020 года и уже реализовала более 30 успешных проектов от небольших сайтов до полной цифровой трансформации компаний.,https://hubes.ru/
Лига цифровой экономики,https://digitalleague.ru/,,,,
Игроник,https://igronik.ru/,,,"Компания «Игроник» выделяет первые три месяца как время адаптации, а не испытательный срок, чтобы новые сотрудники могли полностью погрузиться в команду и показать свой потенциал.",https://igronik.ru/about
Push4site,https://push4site.com/,,,"Push-уведомления от Push4site приходят прямо на рабочий стол, даже если пользователь не имеет открытого браузера, а сервис предлагает 30 дней бесплатного использования.",https://push4site.com/
ПроКонтекст,https://procontext.ru/,,,"Протекст — победитель AdIndex Awards 2025 по всем категориям: контекстная реклама, таргетированная реклама и подрядчики крупного бизнеса.",https://procontext.ru/
RedHelper,https://redhelper.ru/,,info@redhelper.ru,"Система RedHelper использует технологию co-browse, чтобы онлайн-консультант не раздражал посетителей и обеспечивал высокий уровень обслуживания.",https://redhelper.ru/
Brandmaker,https://brandmaker.ru/,,info@brandmaker.ru,"Компания Brandmaker уже обслуживает более 300 клиентов по всему миру, специализируясь на привлечении оптовых покупателей для производственно-промышленных компаний в течение 7 дней с гарантией результата.",https://brandmaker.ru/
Premium-lift,https://premium-lift.ru/,,info@premium-lift.ru,Компания работает в сфере рекламы уже с 2010 года и предлагает скидки до 30 %.,https://premium-lift.ru/
Джейкет,https://jcat.ru/,,buh@jcat.ru,Вы можете разместить объявление о поиске сотрудников сразу на нескольких сайтах через сервис Джейкет и получить консультацию по публикации в Москве и России (телефон: 7 (800) 301-82-20).,https://jcat.ru/
Институт развития интернета,https://ири.рф/,,concurs@iri.center,Поддерживает создание и продвижение социально значимого интернет-контента.,https://ири.рф/
Rocket10,https://rocket10.com/,,hello@rocket10.com,"Компания Rocket10 имеет более десяти лет опыта в продвижении мобильных приложений и брендов по всему миру, включая медиа-покупки, программатику и креативное производство на всех основных рекламных платформах.",https://rocket10.com/
Victory Group,https://victoryagency.ru/,,pr@victoryagency.ru,"Разрабатывают уникальную систему лидогенерации, которая уже дала рекордные показатели эффективности для автобизнеса и запускают её продажи в разных нишах.",https://victoryagency.ru/
БТЛ Сервис,https://btl-service.com/,,info@btl-service.com,"Федеральное агентство BTL Service с 2005 года предоставляет комплексный аутсорсинг мерчандайзинга в Москве и по всей России, обеспечивая постоянную представленность товаров на полках и контроль сроков годности.",https://btl-service.com/
Глобал Артс,https://global-arts.ru/,,info@global-arts.ru,"Специализируются на разработке, поддержке и продвижении сайтов именно на платформе 1С-Битрикс, включая перенос существующих проектов на эту систему.",https://global-arts.ru/
Тарантул,https://tarantul.zone/,,info@tarantul.zone,"Компания «Тарантул» обещает показать, как снизить расходы без потери качества проекта.",https://tarantul.zone/
Социо Про,https://socio-pro.com/,,socio-pro@bk.ru,Надежный источник достоверной информации для принятия эффективных решений в бизнесе и госструктурах.,https://socio-pro.com/
Servizoria,https://servizoria.ru/,,sales@servizoria.ru,"Российская исследовательская продуктовая компания Servizoria сформировала полноценную экосистему услуг и IT-решений, позволяющую эффективно управлять клиентским опытом, персоналом и продажами в розничном и e-commerce бизнесе.",https://servizoria.ru/
Litera.Studio,https://litera.studio/,,zakaz@litera.studio,"Наша студия уже успешно разработала набор открыток для арт-галереи Ильи Чируна и логотип «ПРОМАКТИВ», а также брутальный дизайн для кофейни «Любимая кружка».",https://litera.studio/
Pragmatix Digital,https://pragmatix.digital/,,hello@pragmatix.digital,"Компания Pragmatix Digital предоставляет комплексную SEO-раскрутку сайтов «под ключ» в Москве, включая полный аудит и оптимизацию для улучшения поисковых показателей.",https://pragmatix.digital/
Findby,https://findby.ru/,,hi@findby.ru,Бутиковое SEO-агентство Findby.ru работает в Москве и предлагает выгодные тарифы на комплексную поисковую оптимизацию сайтов под Яндекс и Google.,https://findby.ru/
Аудитория,https://au-agency.ru/,,info@au-agency.ru,"Аудитория – агентство полного цикла интернет-маркетинга в Самаре, которое сочетает веб-дизайн и комплексный digital-маркетинг с глубокой аналитикой по KPI.",https://au-agency.ru/
Упаковщик,https://packer24.ru/,,info@packer.agency,Упаковщик находится в башне ОКО в Москва-Сити (1-й Красногвардейский проезд 21 стр. 1).,https://packer24.ru/
Домовой и Партнеры,https://domovoy.pro/,,info@domovoy.pro,"В агентстве «Домовой и Партнеры» реализуются решения по внедрению Bitrix24, а также предоставляется полный спектр услуг для компаний любого размера – от двух сотрудников до крупных корпораций.",https://domovoy.pro/
DigitalWill,https://digitalwill.ru/,,welcome@digitalwill.ru,Сертифицированное интернет-агентство DigitalWill имеет 10 лет опыта работы и специализируется на раскрутке отелей и объектов гостеприимства.,https://digitalwill.ru/
Agency-5,https://agency-5.ru/,,info@agency-5.ru,"Agency-5 гарантирует возврат денег, если сайт не принесёт заявленного результата.",https://agency-5.ru/
ArrivoMedia,https://arrivomedia.ru/,,info@arrivomedia.ru,недостаточно данных для персонализации,https://arrivomedia.ru/
Kochev Marketing,https://kochevmarketing.com/,,zakaz@kochevmarketing.com,Комплексный интернет-маркетинг под ключ в Москве от KochevMarketing.,https://kochevmarketing.com/
Ony,https://ony.ru/,,hello@ony.ru,"Компания Ony гордится тем, что работает именно с компаниями, «задающими правила игры» в своих рынках.",https://ony.ru/
Agima,https://www.agima.ru/,,info@agima.ru,"Проведённые проекты с крупнейшими страховыми компаниями, банками и автомобильными брендами подтверждают ваш опыт в работе с крупными клиентами.",https://www.agima.ru/
Студия Артемия Лебедева,https://www.artlebedev.ru/,,,Студия Артемия Лебедева специализируется на автоматизации дизайна и создании собственных шрифтов.,https://www.artlebedev.ru/
inSales,https://www.insales.ru/,,info@insales.ru,"inSales позволяет создавать интернет-магазины без программистов и дизайнеров, а также управлять продажами через маркетплейсы, соцсети и мессенджеры с одной единой платформы.",https://www.insales.ru/
БТВ-Инфо,https://btv-info.ru/,,info@btv-info.ru,"Компания BTV-Info работает на рынке IT-услуг уже с 2002 года, а её сайты разрабатываются именно на платформе «1С-Битрикс».",https://btv-info.ru/
Qsoft,https://www.qsoft.ru/,,info@qsoft.ru,"Создаете высоконагруженные e-commerce платформы и интегрируете AI-решения для оптимизации процессов найма, адаптации и развития персонала.",https://www.qsoft.ru/
